Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
prob,0.01,0.05,0.08,0.12,0.04,0.08,0.12,0.04,0.03,0.06,0.02,0.06,0.07,0.04,0.11,0.07
age mean,0.182,0.0797,0.1949,0.2446,0.276,0.2197,0.2121,0.2178,0.1118,0.2576,0.3031,0.217,0.358,0.3674,0.273,0.3894
age stdev,0.1339,0.1887,0.3273,0.3621,0.3708,0.3248,0.3303,0.3279,0.2653,0.3687,0.3969,0.3422,0.4216,0.4285,0.3776,0.4161
*1/*1,1,51.5563,74.1891,113.096,12.6737,78.4044,102.9404,10.8077,30.3161,13.9378,2.4016,1,59.2183,18.8092,97.0017,50.6478
*1/*2,1,5.0182,8.3063,5.239,10.5965,2.0002,16.0479,27.3562,1,37.1676,1,5.4675,4.0082,4.1815,9.3831,11.228
*1/*3,1,1,1.0016,1.7313,19.5406,1,6.1819,5.5142,1,14.3258,4.4284,5.956,7.8939,18.3072,4.6811,6.4379
*2/*2,4,1,1,1,3.3506,1,1,1.2294,1,1,14.3112,44.2662,1,4.8427,1,1
*2/*3,1,1,1,1,1.7144,1,1,1.8946,1,1,1.9998,10.356,1.001,3.0372,1,1.9971
CYP2C9 Total,8,59.5744,85.497,122.0662,47.8758,83.4046,127.1702,46.8021,34.3161,67.4312,24.141,67.0457,73.1213,49.1778,113.0659,71.3107
A/A,1,1,1,18.9163,25.8177,5.3864,20.3708,4.8944,1,1.0008,2.4013,17.6944,63.871,14.6464,1,2.0005
G/A,1,8.984,1.016,100.15,18.3992,75.0182,103.7993,38.1306,1,1.0357,1.0062,36.3199,1.0286,30.7992,1,65.3131
G/G,4,47.5904,81.481,1,1.6589,1,1,1.777,30.3161,63.3947,18.7336,11.0314,6.2218,1.7322,109.0659,1.9971
VKORC1 Total,6,57.5744,83.497,120.0662,45.8758,81.4046,125.1702,44.8021,32.3161,65.4312,22.141,65.0457,71.1213,47.1778,111.0659,69.3107
dose 00 mean,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
dose 01 mean,15,15,15,15,15,15,15,15,15,15,15,14.6938,15,15,15,15
dose 02 mean,15,15,15,14.9146,8.0716,15,14.921,14.1552,15,15,14.8171,6.6756,13.7443,13.1649,15,14.8285
dose 03 mean,15,15,15,14.3732,1.758,14.949,11.2922,8.8565,15,13.3622,12.0209,3.3612,6.9538,6.4681,14.9805,9.1258
dose 04 mean,15,15,14.9958,11.6495,0.3066,13.8295,7.0846,4.2632,15,10.2505,8.2376,1.217,2.8773,2.7194,12.8049,4.3285
dose 05 mean,11.5,14.9908,14.7969,8.4057,0.2733,12.1233,4.4089,2.4911,15,6.4377,3.449,0.4704,2.4335,1.5595,9.6497,2.7585
dose 06 mean,5.3333,13.7318,13.022,5.9827,0.5142,10.4705,4.1888,1.9865,15,5.1238,2.5581,0.6205,2.4851,1.5028,7.8481,2.5914
dose 07 mean,4.6667,13.4458,11.5799,6.0666,1.1166,9.4357,4.2258,2.392,15,4.2944,2.6496,1.889,3.2583,1.8614,6.2179,2.9485
dose 08 mean,4.5,11.689,10.7477,5.4794,1.0212,8.3578,4.1109,2.1847,14.4543,3.7,1.7837,0.9694,2.8815,1.9334,6.5173,3.0208
dose 09 mean,4.6667,12.9288,10.5907,5.8187,1.5589,8.3782,4.4775,2.6292,14.6816,4.2157,1.6362,0.8351,2.9064,2.1192,7.0538,3.4378
dose 10 mean,5,12.459,10.0844,6.4583,2.593,8.6269,5.0623,3.2833,13.8474,5.2584,1.7726,1.3214,3.8786,2.9758,6.7585,3.9553
dose 11 mean,3.5,11.1931,9.0446,6.0321,1.963,8.0533,4.678,2.828,14.0759,4.3931,1.5369,0.9136,3.292,2.5165,6.709,3.6667
dose 12 mean,2.3333,10.8126,9.0907,5.6982,1.5697,7.8289,4.4953,2.5612,14.3932,4.131,1.3922,0.6369,3.2593,2.1932,6.4037,3.3286
dose 13 mean,1.6667,10.5323,8.3997,5.5104,1.4724,7.5751,4.0731,2.3269,14.0345,3.9664,1.0733,0.7895,2.8742,1.6656,6.47,3.0067
dose 14 mean,2,11.0182,8.1552,5.1011,1.6498,7.5546,3.8205,2.2044,13.555,3.8939,0.6968,0.9169,2.6313,1.7889,6.5286,2.8968
dose 15 mean,1.3333,10.0871,8.7259,5.2297,1.9536,7.1007,3.8355,2.297,12.8098,5.1456,1.348,1.0412,3.3014,2.2346,6.1994,3.0242
dose 16 mean,0.8333,10.3864,8.4895,5.0604,1.7709,7.1544,3.9607,2.5331,14.1724,3.091,0.9904,1.0169,3.3081,2.1815,6.4737,3.1282
dose 17 mean,1,9.9097,8.4863,5.14,1.9792,7.2498,3.9624,2.7609,13.7185,5.0512,1.253,1.1893,3.0668,2.2328,6.4469,3.3179
dose 18 mean,1,10.3959,8.7133,5.1413,1.9389,7.3589,4.0909,2.5698,12.1515,4.1363,1.2509,1.1283,3.1468,2.4816,6.0247,3.5075
dose 19 mean,0.8333,10.5273,7.7814,5.3047,1.7912,6.944,4.0963,2.6986,13.1283,4.3675,1.8409,1.1918,3.0964,2.5913,6.8506,3.2446
dose 20 mean,0.8333,9.6334,8.5583,5.3423,2.065,7.1569,4.2755,2.868,13.9228,4.3973,1.6151,1.4681,3.4471,2.1359,5.9562,3.167
dose 21 mean,0.8333,10.483,7.8887,5.2772,2.1075,7.335,4.069,2.6611,11.3985,3.9285,1.7612,1.2413,2.9442,2.5451,6.7557,3.3642
dose 22 mean,0.6667,9.821,8.1408,5.1402,1.4825,7.3738,4.1961,2.8123,13.5364,4.9704,1.3459,1.3092,3.2823,2.2921,6.1626,3.3422
dose 23 mean,2,10.1674,8.8868,5.3923,2.0982,7.4055,4.0419,2.8319,12.6447,4.2899,1.9127,1.3135,2.9538,2.4499,6.7445,3.4054
dose 24 mean,2.3333,10.6071,7.6164,5.3058,1.8134,7.0379,4.013,2.6034,13.7321,3.9288,1.3718,1.3838,3.1745,2.3461,6.473,3.3989
dose 25 mean,1.1667,9.2487,7.9838,5.1632,1.947,6.8243,4.2749,2.9498,11.9514,5.1981,1.7623,1.4871,3.2346,2.6023,5.7457,3.1731
dose 26 mean,1.8333,10.4358,9.434,5.359,1.8641,7.0825,4.1233,2.8359,12.9135,4.8583,1.7859,1.4244,3.3394,2.3496,6.7363,3.2423
dose 27 mean,1.5,10.1713,6.8609,5.437,2.2544,7.1222,4.2797,3.117,13.1083,4.0259,2.5644,1.3842,3.147,2.3775,6.2029,3.3793
dose 28 mean,1.8333,9.3143,8.6787,5.2738,1.864,7.0419,4.0996,2.7278,12.8948,4.6034,2.8503,1.4189,3.1679,2.2086,6.5233,3.3092
dose 29 mean,1.5,10.8912,8.964,5.2429,1.705,7.4699,4.1367,2.828,12.777,4.1485,1.8942,1.3464,3.3617,2.7247,6.6191,3.4364
dose 30 mean,1.6667,10.3406,7.4897,5.3578,1.8894,7.0565,4.1617,2.9521,12.2332,4.7799,1.5628,1.321,3.0581,2.5545,6.1864,3.2999
dose 31 mean,1.6667,9.2502,8.2402,5.3284,1.9444,7.3348,4.1089,2.617,12.9366,4.4617,2.078,1.3432,3.1159,2.4463,6.3983,3.5298
dose 32 mean,5.1667,10.3315,9.6024,5.3015,1.904,7.1356,4.0844,2.9309,12.5483,4.0138,3.9742,1.3279,3.2064,2.4131,7.1028,3.3169
dose 33 mean,5.5,10.5442,7.1356,5.4033,1.963,7.1647,4.0798,2.7041,12.9445,5.022,3.1563,1.4787,3.2009,2.4053,6.3947,3.3661
dose 34 mean,2,10.0692,8.4822,5.5405,1.9048,7.0121,4.2613,2.7885,12.7495,4.6805,2.3721,1.4728,3.3637,2.3229,6.3552,3.3805
dose 35 mean,2.5,8.8424,8.4324,5.0679,1.9586,7.3403,4.154,2.8069,12.078,4.2378,1.771,1.5244,3.0748,2.7105,6.5591,3.2635
dose 36 mean,4.6667,11.4052,8.1541,5.3749,1.8418,6.9177,4.1346,2.9542,12.7936,4.6401,1.8033,1.417,3.2816,2.2095,6.6433,3.3292
dose 37 mean,2,9.6583,8.3912,5.1537,2.0369,7.2181,4.1676,2.8321,12.4334,4.676,1.6922,1.2785,3.13,2.2974,5.6656,3.2152
dose 38 mean,2,10.2067,8.0542,5.3851,1.8063,7.2271,3.9994,2.767,13.4325,4.6636,1.6838,1.557,3.0342,2.4051,6.4278,3.2348
dose 39 mean,1.5,10.1041,9.0201,5.4112,1.8496,7.3413,4.0164,2.8423,13.0417,3.9607,2.6457,1.3717,3.5002,2.5857,7.2656,3.4222
dose 40 mean,1.8333,10.1192,6.8926,5.4995,1.9567,7.1494,4.3082,2.8306,12.53,5.4177,1.3203,1.3931,3.1775,2.4761,5.9884,3.2235
dose 41 mean,1.8333,9.5691,9.2541,5.3095,1.8313,7.5034,4.055,2.6418,12.3494,4.2706,2.4687,1.2589,3.1372,2.5653,6.1176,3.5209
dose 42 mean,1.8333,10.4399,8.114,5.2993,2.0926,7.0844,4.2632,2.8292,13.1043,4.5228,3.0522,1.4058,3.0893,2.3722,6.772,3.2983
dose 43 mean,4.5,9.9434,7.6831,5.0669,1.7316,7.0014,4.0448,2.655,12.563,4.4106,1.9196,1.4284,2.9977,2.5198,6.5904,3.1389
dose 44 mean,1.8333,9.7981,8.9493,5.3523,1.8895,7.1497,4.1444,2.752,12.7671,4.4081,1.9371,1.3317,3.1049,2.1451,6.003,3.3355
dose 45 mean,1.5,10.6019,7.8993,5.2435,2.1554,7.2663,4.3261,2.868,12.529,4.1584,2.8766,1.488,3.4225,2.879,6.3572,3.3786
dose 46 mean,1.5,9.9645,7.0762,5.1636,1.5732,7.0267,4.4076,2.8929,13.1488,4.4914,1.7081,1.3918,3.0934,2.2617,6.7782,3.2914
dose 47 mean,1.5,10.1126,10.1662,5.3932,2.1015,7.2788,3.9971,2.7786,11.5878,4.7645,1.9617,1.3815,3.1409,2.5505,6.6762,3.4171
dose 48 mean,1.6667,10.0207,7.6446,5.3057,1.8446,7.3554,4.2439,2.8563,12.8468,4.4945,1.4937,1.5874,3.2487,2.3723,6.2906,3.337
dose 49 mean,1.5,9.2437,8.0488,5.3118,1.9489,6.9383,4.0083,2.8301,12.6387,4.2345,1.5573,1.4282,3.4064,2.4209,6.4199,3.3579
dose 50 mean,1.8333,11.5009,8.5429,5.4929,1.7265,7.1425,3.9204,2.7262,13.4419,5.2565,1.9254,1.2125,3.0857,2.3707,6.2031,3.3266
dose 51 mean,1.5,9.5101,8.589,5.3226,2.2151,6.9359,4.2311,3.1921,12.0835,4.3485,1.9518,1.3529,3.23,2.6019,6.5755,3.3447
dose 52 mean,1.5,9.1788,7.6521,5.3707,1.8138,7.0345,4.095,2.6882,13.8484,4.2312,3.9697,1.3618,2.7808,2.611,6.2895,3.383
dose 53 mean,8.6667,11.1202,8.5818,5.1954,2.0974,7.0286,4.035,2.9427,11.7563,4.6535,2.1888,1.3814,3.5278,2.6171,6.2289,3.1336
dose 54 mean,6.3333,8.9592,8.4765,5.331,1.5218,7.1711,4.1307,2.9131,12.6862,4.2429,1.5116,1.5001,3.1186,2.4226,6.8725,3.2689
dose 55 mean,2,11.5215,7.9375,5.3356,1.9265,7.2913,4.2098,2.6279,11.3756,5.0789,1.7218,1.4247,3.2924,2.2537,6.0992,3.4811
dose 56 mean,1.5,8.5003,8.6306,5.1769,1.9706,6.9506,3.9774,2.5578,13.0783,4.0995,1.8333,1.301,2.9435,2.3107,6.671,3.4667
dose 57 mean,3.5,11.6241,8.4921,5.3204,1.969,7.2611,4.1826,2.7048,11.7943,4.4747,3.4104,1.2646,3.2384,2.2957,6.5019,3.2483
dose 58 mean,2.1667,9.64,8.1183,5.2258,1.731,7.1764,4.341,2.9441,13.8152,4.5559,1.8847,1.4735,3.2114,2.6005,6.6185,3.318
dose 59 mean,2.1667,9.3938,8.7789,5.4765,1.9676,7.137,4.0834,2.9455,11.8941,4.2786,1.707,1.3544,3.2709,2.6044,6.3652,3.1798
dose 60 mean,1.6667,10.9885,8.226,5.3774,1.6939,7.1328,4.1627,2.764,13.0961,4.6639,1.6151,1.3986,3.2589,2.5116,6.2535,3.3799
dose 61 mean,1.5,10.2466,7.733,5.2706,1.9312,7.3201,4.0446,2.8627,12.6574,3.9898,2.6984,1.4423,3.2941,2.4384,6.3599,3.4774
dose 62 mean,1.5,9.1312,8.6901,5.4252,2.0237,6.8896,4.1248,2.7404,12.7799,5.4368,3.4151,1.6314,2.8716,2.2362,6.8191,3.4174
dose 63 mean,1.8333,10.4914,8.6494,5.4151,1.8128,7.3308,4.1996,2.8269,12.329,4.0536,1.6654,1.3415,3.4214,2.4909,6.467,3.0454
dose 64 mean,1.6667,9.5564,7.5009,5.1229,2.0519,7.1313,4.0778,2.6365,12.2854,4.0925,2.4152,1.3665,2.8939,2.4501,5.8227,3.4936
dose 65 mean,1.5,10.4635,8.5324,5.4004,2.0783,7.4758,4.2566,2.8878,12.2124,5.197,2.126,1.3981,3.2047,2.3759,6.6471,3.4825
dose 66 mean,1.6667,9.7423,8.6945,5.3222,1.6498,6.9237,4.2155,2.9113,12.9693,4.5217,1.2515,1.3262,3.2582,2.5205,6.7255,3.2461
dose 67 mean,1.5,10.4804,7.8247,5.3501,1.7903,6.9702,4.1799,2.6322,13.0648,4.3426,2.5905,1.368,3.1902,2.4265,6.2696,3.3973
dose 68 mean,5.1667,9.3741,8.5938,5.1022,2.0889,7.2004,4.0309,2.9865,12.4699,4.7043,2.488,1.4188,3.1157,2.476,6.4555,3.2014
dose 69 mean,2,10.2131,8.2525,5.4799,1.8915,7.1634,4.0942,2.694,12.5366,5.0212,1.858,1.411,3.4564,2.3621,6.8662,3.27
dose 70 mean,1.5,10.5048,7.7789,5.2965,2.0031,7.343,4.3028,2.9639,12.8134,4.1454,2.3087,1.3276,2.8533,2.3198,5.83,3.3543
dose 71 mean,1.5,10.2994,8.4186,5.3428,1.9081,7.2736,4.2103,2.8963,12.3909,4.5877,2.3057,1.5641,3.3576,2.5135,5.9907,3.2308
dose 72 mean,1.3333,8.3935,8.8437,5.311,1.9914,7.1418,4.1998,2.7496,13.0492,4.258,2.4906,1.4899,3.1049,2.3724,7.2632,3.1777
dose 73 mean,5.3333,11.3156,7.56,5.3823,1.8231,7.2005,4.092,2.736,11.7291,4.6473,1.713,1.3752,2.9875,2.3394,6.0541,3.5075
dose 74 mean,2,9.2567,7.8491,5.3458,1.8627,7.2188,3.9517,2.869,12.8835,4.3428,2.533,1.2406,3.2658,2.461,6.4209,3.216
dose 75 mean,1.6667,11.3641,8.8783,5.2312,1.749,7.3889,4.178,2.7165,12.5008,4.6401,1.9573,1.441,3.1112,2.5039,6.8497,3.4404
