,Index,Cluster 1,Cluster 2,Cluster 3,Cluster 4
,prob,0.18,0.38,0.18,0.26
,age mean,0.2468,0.2189,0.1691,0.2576
,age stdev,0.3633,0.3547,0.3066,0.3778
,G/A,116.7413,135.028,28.94,169.2907
,G/G,13.0813,185.8798,137.9365,56.1025
,A/A,49.6997,61.8265,15.4525,42.0213
,VKORC1 Total,179.5223,382.7343,182.3289,267.4145
,*1/*1,111.3135,252.872,146.668,163.1465
,*1/*2,27.2654,54.7316,19.8717,46.1313
,*1/*3,20.9956,37.11,9.7397,32.1548
,*2/*2,14.9986,31.0194,7,15.982
,*2/*3,6.9492,9.0013,1.0496,11.9999
,CYP2C9 Total,181.5223,384.7343,184.3289,269.4145
1,dose 00 mean,15,15,15,15
2,dose 01 mean,15,14.9974,15,14.9622
3,dose 02 mean,14.7756,14.4502,15,12.8042
4,dose 03 mean,14.5775,11.3268,14.9944,7.2297
5,dose 04 mean,13.1562,7.0546,14.2296,3.5644
6,dose 05 mean,10.5059,5.061,13.0673,2.2079
7,dose 06 mean,8.932,4.1569,11.7728,1.9555
8,dose 07 mean,8.0337,4.2346,10.5629,2.0332
9,dose 08 mean,7.0478,4.1123,9.6835,1.7446
10,dose 09 mean,6.8257,4.2818,9.6203,1.9021
11,dose 10 mean,7.7663,5.149,9.5494,2.5352
12,dose 11 mean,7.1419,4.3994,9.4489,2.2038
13,dose 12 mean,6.7449,4.0618,8.7139,1.9527
14,dose 13 mean,6.7527,4.0531,8.6069,1.6827
15,dose 14 mean,6.5198,4.0859,8.7925,1.6481
16,dose 15 mean,6.3227,3.8944,8.3374,1.7073
17,dose 16 mean,6.4065,4.0726,8.7317,2.013
18,dose 17 mean,6.5324,4.1556,8.3932,2.0846
19,dose 18 mean,6.3915,4.3233,8.1641,2.1784
20,dose 19 mean,6.4201,4.035,8.7939,2.1613
21,dose 20 mean,6.6424,4.1968,8.0201,2.2581
22,dose 21 mean,6.5713,4.1511,8.9881,2.1609
23,dose 22 mean,6.5319,4.5211,8.3447,2.3134
24,dose 23 mean,6.3621,4.0208,7.7574,2.3088
25,dose 24 mean,6.4711,4.3239,9.4805,2.2791
26,dose 25 mean,6.4443,4.1413,7.7293,2.1529
27,dose 26 mean,6.425,4.3743,8.5466,2.4265
28,dose 27 mean,6.4971,4.2912,8.5578,2.373
29,dose 28 mean,6.5129,4.1634,8.4049,2.2885
30,dose 29 mean,6.414,4.3217,8.0352,2.2304
31,dose 30 mean,6.2848,4.3225,8.2971,2.4007
32,dose 31 mean,6.7075,4.1985,8.5959,2.3322
33,dose 32 mean,6.2869,4.101,8.2161,2.4963
34,dose 33 mean,6.6012,4.4331,8.1749,2.312
35,dose 34 mean,6.5639,4.2412,8.9072,2.3788
36,dose 35 mean,6.2773,4.1595,7.9415,2.2986
37,dose 36 mean,6.5774,4.3311,8.5374,2.3402
38,dose 37 mean,6.4621,4.3381,8.5094,2.2029
39,dose 38 mean,6.3606,4.1469,8.1915,2.411
40,dose 39 mean,6.5835,4.2585,8.2412,2.2574
41,dose 40 mean,6.5148,4.155,8.4097,2.3489
42,dose 41 mean,6.5462,4.3081,8.5127,2.3824
43,dose 42 mean,6.4143,4.1648,8.35,2.2799
44,dose 43 mean,6.3516,4.4231,8.2681,2.2749
45,dose 44 mean,6.5542,4.0891,8.5727,2.2596
46,dose 45 mean,6.5431,4.4624,8.7707,2.4909
47,dose 46 mean,6.6337,4.2572,7.8241,2.4121
48,dose 47 mean,6.3305,4.2449,8.6494,2.1916
49,dose 48 mean,6.584,4.2261,8.4302,2.2756
50,dose 49 mean,6.503,4.2019,7.9189,2.3349
51,dose 50 mean,6.3567,4.1491,8.5517,2.3024
52,dose 51 mean,6.6997,4.3028,8.4344,2.422
53,dose 52 mean,6.4027,4.3914,8.5191,2.3863
54,dose 53 mean,6.1468,4.1111,8.1161,2.2875
55,dose 54 mean,6.646,4.3011,8.1137,2.3128
56,dose 55 mean,6.6243,4.3609,8.7407,2.2775
57,dose 56 mean,6.7408,4.2203,8.3398,2.3918
58,dose 57 mean,6.4777,4.2082,8.5102,2.3747
59,dose 58 mean,6.5886,4.0907,8.3287,2.3127
60,dose 59 mean,6.2452,4.0023,8.4914,2.1937
61,dose 60 mean,6.6189,4.4801,8.1917,2.3651
62,dose 61 mean,6.6755,4.5075,8.4952,2.3488
63,dose 62 mean,6.3877,4.0358,8.4506,2.2672
64,dose 63 mean,6.4075,4.2787,8.4699,2.4082
65,dose 64 mean,6.4157,4.4648,8.0282,2.3253
66,dose 65 mean,6.6256,4.188,8.6009,2.2321
67,dose 66 mean,6.4254,4.2969,8.4344,2.3584
68,dose 67 mean,6.4608,4.2313,8.1948,2.3265
69,dose 68 mean,6.4572,4.1756,8.2441,2.4171
70,dose 69 mean,6.5629,4.1895,9.3572,2.3017
71,dose 70 mean,6.141,4.3791,7.2351,2.3945
72,dose 71 mean,6.4616,4.2106,8.6264,2.3808
73,dose 72 mean,6.5554,4.2162,8.5188,2.3018
74,dose 73 mean,6.6995,4.219,8.3611,2.3293
75,dose 74 mean,6.4141,4.3525,8.2366,2.2878
76,dose 75 mean,6.5007,4.3098,8.658,2.3875
77,dose 76 mean,6.4088,4.1186,8.4847,2.2812
78,dose 77 mean,6.4977,4.2177,8.1188,2.1498
79,dose 78 mean,6.5439,4.245,8.3425,2.4027
80,dose 79 mean,6.591,4.3002,8.7949,2.303
81,dose 80 mean,6.3037,4.2386,8.0117,2.2294
82,dose 81 mean,6.5955,4.2085,8.3663,2.3271
83,dose 82 mean,6.5193,4.2404,8.778,2.5693
84,dose 83 mean,6.2906,4.2927,8.2309,2.3862
85,dose 84 mean,6.5202,4.2755,7.9822,2.2674
86,dose 85 mean,6.5318,4.1417,8.9282,2.2943
87,dose 86 mean,6.1921,4.2047,8.3232,2.3021
88,dose 87 mean,6.518,4.2677,8.3451,2.3309
89,dose 88 mean,6.6267,4.2843,8.1548,2.4221
90,dose 89 mean,6.5074,4.0963,8.8363,2.3172
