Index,0,1,2,3,4,5
prob,0.252466994,0.137269646,0.185047053,0.186771415,0.158517485,0.079927407
age mean,0.2002,0.2334,0.2745,0.1826,0.259,0.2077
age stdev,0.3417,0.3566,0.385,0.3154,0.3815,0.3437
*1/*1,168.1737,86.4266,110.28,132.1138,117.6374,61.3686
*1/*2,36.0441,27.6348,31.969,25.6608,15.6946,12.9967
*1/*3,27.8562,17.7597,21.9861,17.3494,12.0478,5.0008
*2/*2,17,8.8521,14.1475,12.0094,15.991,3
*2/*3,9.9373,1.0674,11.9953,5,2,1
CYP2C9 Total,259.0114,141.7405,190.3779,192.1333,163.3708,83.3661
A/A,67.8784,18.9584,28.1997,37.876,8.0722,10.0152
G/A,185.1956,19.0896,150.1828,72.3245,2.5464,22.661
G/G,3.9373,101.6924,9.9954,79.9328,150.7522,48.6899
VKORC1 Total,257.0114,139.7405,188.3779,190.1333,161.3708,81.3661
dose 00 mean,15,15,15,15,15,15
dose 01 mean,15,15,14.9461,15,14.9937,15
dose 02 mean,14.5084,13.0711,12.9211,14.9515,14.71,15
dose 03 mean,12.6383,6.9916,7.5823,14.9091,12.2411,14.9872
dose 04 mean,9.2092,2.8132,3.9498,13.7464,8.158,14.9936
dose 05 mean,6.6594,1.716,2.5818,11.7158,5.951,14.8509
dose 06 mean,5.2187,1.6291,2.3231,10.2546,4.9945,13.967
dose 07 mean,5.3656,1.4442,2.5104,8.9608,4.5954,13.1127
dose 08 mean,4.7756,1.4122,2.1842,7.7952,4.8125,12.3974
dose 09 mean,4.9125,1.6375,2.4096,7.5775,4.8231,12.2338
dose 10 mean,5.5446,1.7935,3.1443,8.2323,6.4166,11.6853
dose 11 mean,5.1154,1.7978,2.6845,7.8219,4.9323,11.7498
dose 12 mean,4.9434,1.5586,2.4264,7.2863,4.2234,10.9873
dose 13 mean,4.7053,1.4686,2.0627,7.4072,4.4998,10.7484
dose 14 mean,4.4513,1.8463,1.9662,7.348,4.9202,10.3758
dose 15 mean,4.4234,1.6988,2.1201,6.9874,4.2127,10.4364
dose 16 mean,4.4056,1.886,2.2527,7.196,5.0924,10.5636
dose 17 mean,4.6965,2.2419,2.426,7.157,4.4154,10.2042
dose 18 mean,4.6462,2.069,2.4542,6.9558,5.017,10.1539
dose 19 mean,4.3964,2.0718,2.4307,7.6009,4.7955,9.9724
dose 20 mean,4.8604,1.9815,2.5963,6.7399,4.6886,10.3473
dose 21 mean,4.4867,2.225,2.4374,7.769,4.935,10.0596
dose 22 mean,4.7023,2.4559,2.5786,6.9749,5.3452,10.4376
dose 23 mean,4.6735,2.3552,2.5064,6.9392,3.9606,9.5944
dose 24 mean,4.5559,2.3926,2.4757,7.847,5.4152,10.4331
dose 25 mean,4.6543,1.851,2.5177,6.7848,4.6518,9.6603
dose 26 mean,4.6612,2.2998,2.6867,7.2078,5.0732,10.4728
dose 27 mean,4.83,2.1408,2.7204,7.4169,4.8112,9.7577
dose 28 mean,4.6707,2.4201,2.4729,6.9509,4.7314,10.4277
dose 29 mean,4.6301,1.9878,2.6101,7.0429,4.9585,9.8126
dose 30 mean,4.743,2.2361,2.6695,7.0167,4.9162,9.9079
dose 31 mean,4.6881,2.1531,2.6017,7.3597,5.0252,10.156
dose 32 mean,4.7454,2.5336,2.7181,7.0912,4.162,9.6811
dose 33 mean,4.6344,2.3132,2.593,6.9915,5.2352,10.3917
dose 34 mean,4.7224,2.3892,2.6499,7.5641,4.9434,9.9489
dose 35 mean,4.5638,2.4626,2.5275,6.8164,4.5022,9.7794
dose 36 mean,4.7881,2.3392,2.5688,7.2867,4.7904,10.4759
dose 37 mean,4.625,1.9435,2.5408,7.4688,5.3222,9.499
dose 38 mean,4.6746,2.3391,2.6146,6.7439,4.5717,10.5404
dose 39 mean,4.7261,2.0279,2.5563,7.0945,4.91,10.1717
dose 40 mean,4.68,2.2428,2.6087,7.1822,4.858,9.7562
dose 41 mean,4.6999,2.3662,2.5834,7.2718,4.8689,10.4617
dose 42 mean,4.6276,2.1532,2.5946,7.3834,4.6476,9.5119
dose 43 mean,4.5846,2.4744,2.5892,7.0018,5.1388,9.9281
dose 44 mean,4.6006,2.1554,2.567,7.3886,4.5628,10.209
dose 45 mean,4.9152,2.4424,2.7018,7.3138,5.2648,10.1474
dose 46 mean,4.7905,2.4192,2.668,6.7934,4.5132,10.2116
dose 47 mean,4.6187,2.0756,2.5425,7.4888,4.7433,9.941
dose 48 mean,4.6117,2.0807,2.597,7.0234,5.2138,10.248
dose 49 mean,4.6121,2.313,2.4702,7.1388,4.7973,9.4377
dose 50 mean,4.7501,2.1655,2.5764,7.2134,4.4027,10.3687
dose 51 mean,4.5684,2.584,2.6319,7.1891,5.3333,9.926
